# timestamps [seconds],pts
38733.061558,2141126
38733.093488,2143218
38733.129576,2145583
38733.161509,2147676
38733.193540,2149775
38733.229566,2152136
38733.261641,2154238
38733.297525,2156590
38733.329536,2158688
38733.361542,2160785
38733.397566,2163146
38733.429632,2165247
38733.465515,2167599
38733.497505,2169695
38733.529585,2171798
38733.565532,2174154
38733.597536,2176251
38733.629587,2178351
38733.665488,2180704
38733.697773,2182820
38733.733510,2185162
38733.765416,2187253
38733.797546,2189359
38733.833519,2191716
38733.865638,2193821
38733.897568,2195913
38733.933536,2198271
38733.965545,2200368
38734.001597,2202731
38734.033525,2204823
38734.065656,2206929
38734.101497,2209278
38734.133528,2211377
38734.165529,2213474
38734.201509,2215832
38734.233488,2217928
38734.269681,2220300
38734.301562,2222389
38734.333582,2224488
38734.369609,2226849
38734.401558,2228942
38734.433538,2231038
38734.469598,2233401
38734.501551,2235496
38734.537532,2237854
38734.569610,2239956
38734.601502,2242046
38734.637530,2244407
38734.669597,2246508
38734.701571,2248604
38734.737524,2250960
38734.769807,2253076
38734.805531,2255417
38734.837549,2257515
38734.869628,2259617
38734.905533,2261970
38734.937516,2264066
38734.973562,2266429
38735.005525,2268523
38735.037574,2270624
38735.073495,2272978
38735.105536,2275078
38735.137546,2277175
38735.173505,2279532
38735.205556,2281632
38735.241448,2283985
38735.273536,2286088
38735.305486,2288181
38735.341567,2290546
38735.373491,2292638
38735.405598,2294742
38735.441517,2297096
38735.473526,2299194
38735.508987,2301518
38735.541049,2303619
38735.573027,2305715
38735.609041,2308075
38735.640978,2310168
38735.673029,2312268
38735.709109,2314633
38735.741047,2316726
38735.777057,2319086
38735.809032,2321181
38735.841103,2323283
38735.877032,2325638
38735.909093,2327739
38735.941089,2329836
38735.977078,2332194
38736.009505,2334319
38736.045015,2336646
38736.077083,2338748
38736.109008,2340840
38736.145026,2343201
38736.177026,2345298
38736.209106,2347400
38736.245092,2349758
38736.277114,2351857
38736.312999,2354209
38736.345062,2356310
38736.377063,2358407
38736.412989,2360762
38736.445045,2362862
38736.481024,2365220
38736.513027,2367318
38736.545034,2369415
38736.581044,2371775
38736.613035,2373872
38736.644985,2375965
38736.681063,2378330
38736.713024,2380424
38736.749148,2382792
38736.781011,2384880
38736.813040,2386979
38736.848990,2389335
38736.881069,2391437
38736.913044,2393533
38736.949031,2395891
38736.981012,2397987
38737.017000,2400345
38737.049192,2402455
38737.081075,2404545
38737.116984,2406898
38737.149003,2408996
38737.180984,2411092
38737.216964,2413450
38737.249100,2415556
38737.285097,2417915
38737.317031,2420008
38737.349054,2422107
38737.385054,2424466
38737.417026,2426561
38737.449155,2428667
38737.485062,2431020
38737.517025,2433115
38737.553063,2435476
38737.585043,2437572
38737.616995,2439666
38737.653061,2442030
38737.685079,2444128
38737.717018,2446221
38737.752999,2448579
38737.784986,2450675
38737.821006,2453036
38737.853028,2455135
38737.885055,2457233
38737.921031,2459591
38737.953085,2461692
38737.985033,2463786
38738.021037,2466145
38738.053038,2468242
38738.089109,2470606
38738.121130,2472705
38738.152974,2474792
38738.189057,2477156
38738.221089,2479255
38738.256994,2481608
38738.289052,2483709
38738.320933,2485799
38738.357082,2488168
38738.389079,2490265
38738.421092,2492363
38738.457031,2494718
38738.489434,2496841
38738.525043,2499175
38738.557014,2501270
38738.589094,2503373
38738.625024,2505727
38738.657035,2507825
38738.689074,2509925
38738.725027,2512281
38738.756993,2514376
38738.793036,2516738
38738.825006,2518833
38738.857046,2520933
38738.893184,2523301
38738.924995,2525386
38738.957130,2527492
38738.993051,2529846
38739.024968,2531938
38739.061086,2534305
38739.092996,2536396
38739.124980,2538492
38739.161027,2540854
38739.193014,2542951
38739.225030,2545049
38739.261092,2547412
38739.293054,2549507
38739.329189,2551875
38739.361096,2553966
38739.393077,2556062
38739.429055,2558419
38739.461035,2560515
38739.493053,2562614
38739.529134,2564978
38739.561082,2567072
38739.597011,2569426
38739.629228,2571538
38739.661077,2573625
38739.697027,2575981
38739.729150,2578086
38739.765113,2580443
38739.797036,2582535
38739.829103,2584637
38739.864995,2586989
38739.896994,2589086
38739.929157,2591194
38739.964994,2593542
38739.997078,2595645
38740.032957,2597996
38740.065028,2600098
38740.097054,2602197
38740.133058,2604556
38740.165043,2606652
38740.197019,2608748
38740.233034,2611108
38740.265052,2613207
38740.301103,2615569
38740.333049,2617663
38740.364987,2619756
38740.401026,2622118
38740.433010,2624214
38740.465037,2626313
38740.501034,2628672
38740.533026,2630768
38740.569056,2633129
38740.601067,2635227
38740.633033,2637322
38740.669040,2639682
38740.701028,2641778
38740.732982,2643872
38740.769100,2646239
38740.801030,2648332
38740.837050,2650692
38740.869175,2652798
38740.901090,2654889
38740.937030,2657245
38740.969090,2659346
38741.001070,2661442
38741.037013,2663797
38741.069052,2665897
38741.105063,2668257
38741.137056,2670353
38741.169114,2672454
38741.205050,2674809
38741.237067,2676908
38741.269043,2679003
38741.305086,2681365
38741.337044,2683460
38741.372999,2685816
38741.405027,2687915
38741.437125,2690018
38741.473054,2692373
38741.505007,2694467
38741.540994,2696825
38741.573033,2698925
38741.605036,2701022
38741.641048,2703382
38741.673056,2705480
38741.705066,2707578
38741.741005,2709933
38741.772959,2712027
38741.809160,2714400
38741.841028,2716488
38741.872980,2718582
38741.909113,2720950
38741.941013,2723041
38741.973041,2725140
38742.009444,2727525
38742.041092,2729599
38742.077066,2731957
38742.109121,2734058
38742.141025,2736148
38742.177034,2738508
38742.209090,2740609
38742.241069,2742705
38742.277025,2745061
38742.309192,2747169
38742.345017,2749517
38742.377020,2751614
38742.409059,2753714
38742.444985,2756068
38742.477023,2758168
38742.509127,2760272
38742.544998,2762623
38742.576991,2764719
38742.613058,2767083
38742.645031,2769178
38742.677060,2771278
38742.713020,2773634
38742.745010,2775731
38742.776992,2777827
38742.813000,2780186
38742.845034,2782286
38742.881018,2784644
38742.913002,2786740
38742.944996,2788837
38742.981040,2791199
38743.013047,2793296
38743.049085,2795658
38743.081062,2797754
38743.113071,2799851
38743.149071,2802211
38743.181056,2804307
38743.213026,2806402
38743.249076,2808765
38743.280987,2810856
38743.317059,2813220
38743.349057,2815317
38743.381068,2817415
38743.417013,2819770
38743.449218,2821881
38743.481050,2823967
38743.517028,2826325
38743.549208,2828434
38743.585060,2830783
38743.617108,2832884
38743.648996,2834973
38743.685076,2837338
38743.717048,2839433
38743.749144,2841537
38743.785055,2843890
